iter	Passed	Remaining
0	137	137683
1	138	69009
2	138	46145
3	139	34699
4	139	27831
5	140	23257
6	140	19987
7	141	17528
8	141	15630
9	142	14123
10	143	12880
11	144	11876
12	144	11004
13	145	10273
14	146	9617
15	147	9051
16	147	8532
17	147	8070
18	148	7663
19	148	7294
20	149	6954
21	150	6700
22	151	6424
23	151	6163
24	152	5931
25	152	5715
26	152	5510
27	153	5325
28	153	5147
29	154	4984
30	154	4829
31	154	4685
32	155	4555
33	155	4428
34	156	4311
35	156	4197
36	157	4090
37	157	3989
38	159	3930
39	160	3841
40	160	3753
41	160	3667
42	161	3584
43	161	3506
44	161	3432
45	162	3364
46	164	3328
47	164	3265
48	165	3213
49	166	3164
50	166	3106
51	167	3051
52	167	2996
53	168	2944
54	168	2894
55	168	2846
56	169	2799
57	169	2760
58	170	2725
59	171	2687
60	171	2646
61	172	2606
62	172	2566
63	172	2529
64	176	2541
65	177	2507
66	177	2474
67	178	2439
68	178	2411
69	179	2378
70	179	2346
71	179	2315
72	179	2285
73	180	2256
74	180	2227
75	180	2199
76	181	2172
77	181	2146
78	181	2120
79	182	2095
80	183	2076
81	183	2057
82	184	2035
83	184	2014
84	185	1998
85	186	1979
86	186	1957
87	186	1936
88	187	1915
89	187	1894
90	187	1875
91	187	1855
92	188	1836
93	188	1820
94	189	1808
95	190	1793
96	192	1794
97	193	1779
98	193	1764
99	194	1751
100	195	1738
101	195	1722
102	196	1713
103	197	1697
104	197	1684
105	197	1668
106	198	1653
107	198	1639
108	198	1625
109	199	1610
110	199	1597
111	199	1584
112	200	1572
113	201	1563
114	201	1551
115	201	1538
116	202	1526
117	202	1512
118	202	1500
119	202	1488
120	203	1477
121	203	1467
122	204	1458
123	205	1452
124	205	1440
125	206	1430
126	206	1420
127	206	1409
128	207	1399
129	207	1390
130	208	1382
131	208	1373
132	209	1363
133	209	1353
134	209	1344
135	210	1335
136	210	1326
137	210	1317
138	211	1307
139	211	1298
140	211	1290
141	212	1283
142	212	1275
143	213	1266
144	213	1258
145	213	1250
146	214	1244
147	215	1239
148	215	1233
149	216	1226
150	216	1219
151	217	1211
152	217	1204
153	217	1197
154	218	1189
155	220	1194
156	221	1189
157	222	1183
158	222	1176
159	222	1169
160	223	1163
161	224	1158
162	224	1153
163	225	1149
164	225	1142
165	226	1136
166	226	1130
167	227	1125
168	227	1120
169	228	1114
170	228	1107
171	229	1103
172	229	1098
173	230	1092
174	230	1087
175	231	1082
176	231	1076
177	232	1072
178	232	1066
179	232	1061
180	233	1058
181	234	1053
182	234	1047
183	234	1041
184	235	1036
185	235	1030
186	236	1026
187	236	1021
188	236	1015
189	236	1010
190	237	1005
191	237	1000
192	238	995
193	238	991
194	238	986
195	239	981
196	239	976
197	240	972
198	240	967
199	240	962
200	240	957
201	241	953
202	241	948
203	241	943
204	242	939
205	242	935
206	242	930
207	243	926
208	243	922
209	244	917
210	244	913
211	244	909
212	244	905
213	245	901
214	245	896
215	246	892
216	246	889
217	246	885
218	247	881
219	247	876
220	247	873
221	248	870
222	248	867
223	249	864
224	250	861
225	251	861
226	252	858
227	252	856
228	253	854
229	254	851
230	255	849
231	255	846
232	256	843
233	256	840
234	257	836
235	257	833
236	257	830
237	258	827
238	258	823
239	260	824
240	260	821
241	261	817
242	261	814
243	261	810
244	261	807
245	262	804
246	262	801
247	263	799
248	263	796
249	264	793
250	265	790
251	281	836
252	282	834
253	283	832
254	283	829
255	284	826
256	284	823
257	285	819
258	285	816
259	285	813
260	286	810
261	324	914
262	325	911
263	325	907
264	326	904
265	326	901
266	327	899
267	328	896
268	328	893
269	329	890
270	329	886
271	329	883
272	330	879
273	330	876
274	331	872
275	331	870
276	332	867
277	332	864
278	333	862
279	334	859
280	334	856
281	335	855
282	336	851
283	336	849
284	337	846
285	338	844
286	338	842
287	339	840
288	340	837
289	341	834
290	341	832
291	352	855
292	354	855
293	354	852
294	355	850
295	356	847
296	356	844
297	357	841
298	358	840
299	360	841
300	361	839
301	361	836
302	362	833
303	363	831
304	364	830
305	365	829
306	366	826
307	366	824
308	367	821
309	367	818
310	368	815
311	368	812
312	369	810
313	369	807
314	370	805
315	370	802
316	371	799
317	371	796
318	372	795
319	372	792
320	373	790
321	374	787
322	374	785
323	375	783
324	375	780
325	376	778
326	376	775
327	377	772
328	377	770
329	377	767
330	378	764
331	378	762
332	379	760
333	379	757
334	380	755
335	380	752
336	381	750
337	381	747
338	382	746
339	383	743
340	383	741
341	384	739
342	384	736
343	385	734
344	385	732
345	386	730
346	386	728
347	387	726
348	389	725
349	389	723
350	389	720
351	390	718
352	390	715
353	390	713
354	391	711
355	391	708
356	391	705
357	392	703
358	392	701
359	392	698
360	393	696
361	393	693
362	394	691
363	394	689
364	394	686
365	395	684
366	395	682
367	395	679
368	396	677
369	396	675
370	396	672
371	396	670
372	397	667
373	397	665
374	398	663
375	398	660
376	398	658
377	398	656
378	399	654
379	399	652
380	399	649
381	400	647
382	400	645
383	400	643
384	401	641
385	402	640
386	403	638
387	403	636
388	403	634
389	404	632
390	404	630
391	405	628
392	405	626
393	406	625
394	407	623
395	407	621
396	408	619
397	408	617
398	409	616
399	409	614
400	410	612
401	410	611
402	411	609
403	411	607
404	412	605
405	412	603
406	413	601
407	413	600
408	413	597
409	414	596
410	414	594
411	415	592
412	415	590
413	416	590
414	417	588
415	418	586
416	418	585
417	419	583
418	419	581
419	419	579
420	420	578
421	420	576
422	421	574
423	421	572
424	421	570
425	422	568
426	422	567
427	423	565
428	423	563
429	423	561
430	423	559
431	424	557
432	424	555
433	424	553
434	425	552
435	425	550
436	425	548
437	425	546
438	426	544
439	426	542
440	426	541
441	427	539
442	427	537
443	427	535
444	428	533
445	428	532
446	428	530
447	429	528
448	429	527
449	429	525
450	430	523
451	430	521
452	431	520
453	431	519
454	433	518
455	433	517
456	434	516
457	434	514
458	435	513
459	435	511
460	436	510
461	436	508
462	437	507
463	437	505
464	438	505
465	439	503
466	439	502
467	440	500
468	440	498
469	441	497
470	441	495
471	441	494
472	442	492
473	442	491
474	442	489
475	443	488
476	443	486
477	443	484
478	444	483
479	444	481
480	445	480
481	445	478
482	446	477
483	446	476
484	447	474
485	447	473
486	447	471
487	448	470
488	448	468
489	448	467
490	449	465
491	449	464
492	450	463
493	450	461
494	451	460
495	451	459
496	453	458
497	453	457
498	454	456
499	454	454
500	455	453
501	455	452
502	456	450
503	456	449
504	457	448
505	457	447
506	458	445
507	458	444
508	459	443
509	459	441
510	460	441
511	462	440
512	462	439
513	463	437
514	463	436
515	463	435
516	464	433
517	464	432
518	465	431
519	465	430
520	466	429
521	467	428
522	468	426
523	468	425
524	469	424
525	469	423
526	469	421
527	470	420
528	470	419
529	471	417
530	471	416
531	472	415
532	472	414
533	473	412
534	473	411
535	474	410
536	474	409
537	475	408
538	475	406
539	476	406
540	477	404
541	477	403
542	477	402
543	478	400
544	478	399
545	478	398
546	479	396
547	479	395
548	480	394
549	480	393
550	480	391
551	481	390
552	481	389
553	482	388
554	482	386
555	482	385
556	483	384
557	484	383
558	484	382
559	485	381
560	485	380
561	486	379
562	487	378
563	487	377
564	488	375
565	488	374
566	489	373
567	489	372
568	490	371
569	491	370
570	492	369
571	492	368
572	493	367
573	493	366
574	494	365
575	495	364
576	495	363
577	495	362
578	496	360
579	496	359
580	497	358
581	498	357
582	498	356
583	499	355
584	499	354
585	500	353
586	500	352
587	501	351
588	501	350
589	502	349
590	502	348
591	503	346
592	503	345
593	504	344
594	505	344
595	506	343
596	506	342
597	507	341
598	508	340
599	508	339
600	509	338
601	509	337
602	510	336
603	511	335
604	511	334
605	512	332
606	512	331
607	512	330
608	513	329
609	513	328
610	514	327
611	514	326
612	515	325
613	515	324
614	515	323
615	516	321
616	516	320
617	517	319
618	517	318
619	517	317
620	518	316
621	518	315
622	519	314
623	519	313
624	520	312
625	520	311
626	520	309
627	521	308
628	522	308
629	523	307
630	523	306
631	524	305
632	524	304
633	525	303
634	525	302
635	526	301
636	526	300
637	526	298
638	527	297
639	527	296
640	527	295
641	528	294
